2015-06-30 17:37:35,626 - __main__ - INFO - Accuracy: 0.805013927577, Macro_F score: 0.797687861272, Precision: 0.841463414634, Recall: 0.758241758242; Test data size: 359
2015-06-30 17:38:30,603 - __main__ - INFO - Accuracy: 0.805013927577, Macro_F score: 0.797687861272, Precision: 0.841463414634, Recall: 0.758241758242; Test data size: 359
2015-06-30 17:42:48,665 - __main__ - INFO - Accuracy: 0.802228412256, Macro_F score: 0.791788856305, Precision: 0.849056603774, Recall: 0.741758241758; Test data size: 359
2015-06-30 17:56:41,344 - __main__ - INFO - Accuracy: 0.788300835655, Macro_F score: 0.810945273632, Precision: 0.740909090909, Recall: 0.895604395604; Test data size: 359
2015-06-30 17:58:47,630 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.760736196319, Precision: 0.861111111111, Recall: 0.681318681319; Test data size: 359
2015-06-30 17:59:43,215 - analysis - INFO - Accuracy: 0.738161559889, Macro_F score: 0.680272108844, Precision: 0.892857142857, Recall: 0.549450549451; Test data size: 359
2015-06-30 18:00:52,263 - analysis - INFO - Accuracy: 0.777158774373, Macro_F score: 0.808612440191, Precision: 0.716101694915, Recall: 0.928571428571; Test data size: 359
2015-06-30 18:06:40,579 - analysis - INFO - Accuracy: 0.782729805014, Macro_F score: 0.786885245902, Precision: 0.782608695652, Recall: 0.791208791209; Test data size: 359
2015-06-30 18:10:04,808 - analysis - INFO - Accuracy: 0.791086350975, Macro_F score: 0.780058651026, Precision: 0.836477987421, Recall: 0.730769230769; Test data size: 359
2015-06-30 18:10:46,860 - analysis - INFO - Accuracy: 0.788300835655, Macro_F score: 0.77380952381, Precision: 0.844155844156, Recall: 0.714285714286; Test data size: 359
2015-06-30 18:12:15,441 - analysis - INFO - Accuracy: 0.791086350975, Macro_F score: 0.812967581047, Precision: 0.744292237443, Recall: 0.895604395604; Test data size: 359
